posX	posY
40	432
40	432
40	432
40	432
40	432
40	432
40	432
40	432
40	432
40	432
40	432
40	432
40	432
40	432
40	432
40	432
40	432
40.0625	432
40.125	432
40.25	432
40.375	432
40.5625	432
40.8125	432
41.0625	432
41.375	432
41.6875	432
42.0625	432
42.5	432
42.9375	432
43.4375	432
43.9375	432
44.5	432
45.125	432
45.75	432
46.4375	432
47.125	432
47.875	432
48.6875	432
49.5	432
50.375	432
51.25	432
52.1875	432
53.1875	432
54.1875	432
55.25	432
56.3125	428
57.4375	424.1171875
58.625	420.3515625
59.8125	416.703125
61.0625	413.171875
62.3125	409.7578125
63.625	406.4609375
64.9375	403.28125
66.3125	400.21875
67.75	397.2734375
69.1875	394.4453125
70.6875	391.9921875
72.1875	389.9140625
73.6875	388.2109375
75.1875	386.8828125
76.6875	385.9296875
78.1875	385.3515625
79.6875	385.1484375
81.1875	385.3203125
82.6875	385.8671875
84.1875	386.7890625
85.6875	388.0859375
87.1875	389.7578125
88.6875	391.8046875
90.1875	394.2265625
91.6875	397.0234375
93.1875	400.1953125
94.6875	403.7421875
96.1875	407.6640625
97.6875	411.9609375
99.1875	415.9609375
100.6875	420.3359375
102.1875	424.3359375
103.6875	428.7109375
105.1875	432.7109375
106.6875	432.7109375
108.1875	432.7109375
109.6875	432.7109375
111.1875	432.7109375
112.6875	432.7109375
114.1875	432.7109375
115.6875	432.7109375
117.1875	432.7109375
118.6875	432.7109375
120.1875	432.7109375
121.6875	432.7109375
123.1875	432.7109375
124.6875	428
126.1875	424.1171875
127.6875	420.3515625
129.1875	416.703125
130.6875	413.171875
132.1875	409.7578125
133.6875	406.4609375
135.1875	403.28125
136.6875	400.21875
138.1875	397.53125
139.6875	395.21875
141.1875	393.28125
142.6875	391.71875
144.1875	390.53125
145.6875	389.71875
147.1875	389.28125
148.6875	389.21875
150.1875	389.53125
151.6875	390.21875
153.1875	391.28125
154.6875	392.71875
156.1875	394.53125
157.6875	396.71875
159.1875	399.28125
160.6875	402.21875
162.1875	405.53125
163.6875	409.21875
165.1875	413.28125
166.6875	417.71875
168.1875	421.71875
169.6875	426.09375
171.1875	430.09375
172.6875	432.46875
174.1875	432.46875
175.6875	432.46875
177.1875	432.46875
178.6875	432.46875
180.1875	432.46875
181.6875	432.46875
183.1875	432.46875
184.6875	432.46875
186.1875	432.46875
187.6875	432.46875
189.1875	432.46875
190.6875	432.46875
192.1875	432.46875
193.6875	432.46875
195.1875	432.46875
196.6875	432.46875
198.1875	432.46875
199.6875	432.46875
201.1875	432.46875
202.6875	432.46875
204.1875	432.46875
205.6875	432.46875
207.1875	432.46875
208.6875	432.46875
210.1875	432.46875
211.6875	432.46875
213.1875	432.46875
214.6875	432.46875
216.1875	432.46875
217.6875	432.46875
219.1875	432.46875
220.6875	432.46875
222.1875	432.46875
223.6875	432.46875
225.1875	432.46875
226.6875	432.46875
228.1875	432.46875
229.6875	432.46875
231.1875	432.46875
232.6875	432.46875
234.1875	432.46875
235.6875	432.46875
237.1875	432.46875
238.6875	432.46875
240.1875	432.46875
241.6875	432.46875
243.1875	432.46875
244.6875	432.46875
246.1875	432.46875
247.6875	432.46875
249.1875	432.46875
250.6875	432.46875
252.1875	432.46875
253.6875	432.46875
255.1875	432.46875
256.6875	432.46875
258.1875	428
259.6875	424.1171875
261.1875	420.3515625
262.6875	416.703125
264.1875	413.171875
265.6875	409.7578125
267.1875	406.4609375
268.6875	403.28125
270.1875	400.21875
271.6875	397.2734375
273.1875	394.4453125
274.6875	391.734375
276.1875	389.140625
277.6875	386.6640625
279.1875	384.3046875
280.6875	382.0625
282.1875	379.9375
283.6875	377.9296875
285.1875	376.0390625
286.6875	374.265625
288.1875	372.609375
289.6875	371.0703125
291.1875	369.6484375
292.6875	368.6015625
294.1875	367.9296875
295.6875	367.6328125
297.1875	367.7109375
298.6875	368.1640625
300.1875	368.9921875
301.6875	370.1953125
303.1875	371.7734375
304.6875	373.7265625
306.1875	376.0546875
306.6875	378.7578125
306.6875	381.8359375
306.6875	385.2890625
306.6875	389.1171875
306.6875	393.3203125
306.6875	397.3203125
306.6875	401.6953125
306.6875	405.6953125
306.6875	410.0703125
306.6875	414.0703125
306.6875	418.4453125
306.6875	422.4453125
306.6875	426.8203125
306.6875	430.8203125
306.6875	432.1953125
306.6875	432.1953125
306.6875	432.1953125
306.6875	432.1953125
306.6875	432.1953125
306.6875	432.1953125
306.6875	432.1953125
306.6875	432.1953125
306.6875	432.1953125
306.6875	432.1953125
306.6875	432.1953125
306.6875	432.1953125
306.6875	432.1953125
306.6875	432.1953125
306.6875	432.1953125
306.6875	432.1953125
306.6875	432.1953125
306.6875	432.1953125
306.6875	432.1953125
306.6875	432.1953125
306.6875	432.1953125
306.6875	432.1953125
306.75	432.1953125
306.875	432.1953125
307	432.1953125
307.1875	432.1953125
307.375	432.1953125
307.625	432.1953125
307.9375	432.1953125
308.25	432.1953125
308.625	432.1953125
309	432.1953125
309.4375	432.1953125
309.9375	432.1953125
310.4375	432.1953125
311	432.1953125
311.5625	432.1953125
312.1875	432.1953125
312.875	432.1953125
313.5625	432.1953125
314.3125	432.1953125
315.0625	432.1953125
315.875	432.1953125
316.75	432.1953125
317.625	432.1953125
318.5625	428
319.5	424.125
320.5	420.375
321.5625	416.75
322.625	413.25
323.75	409.875
324.875	406.625
326.0625	403.5
327.25	400.8125
328.5	398.5625
329.8125	396.75
331.125	397.375
332.4375	398.4375
333.75	399.9375
335.0625	401.875
336.375	404.25
337.6875	407.0625
339	410.3125
340.3125	414
341.625	418.125
342.9375	422.125
344.25	426.5625
345.5625	430.5625
346.875	432
348.1875	432
349.4375	432
350.625	432
351.8125	432
352.9375	432
354.0625	432
355.125	432
356.1875	432
357.1875	432
358.125	432
359.0625	432
359.9375	432
360.8125	432
361.625	432
362.375	432
363.125	432
363.875	432
364.6875	432
365.5625	432
366.4375	432
367.375	432
368.3125	432
369.3125	432
370.375	432
371.4375	432
372.5625	432
373.6875	432
374.875	432
376.0625	432
377.3125	432
378.625	432
379.9375	432
381.3125	432
382.6875	432
384.125	432
385.625	432
387.125	432
388.625	432
390.125	432
391.625	432
393.125	432
394.625	432
396.125	432
397.625	432
399.125	432
400.625	432
402.125	432
403.625	432
405.0625	432
406.5	432
407.875	432
409.1875	432
410.5	432
411.75	432
413	432
414.1875	432
415.3125	432
416.4375	432
417.5	432
418.5625	432
419.5625	432
420.5	432
421.4375	432
422.3125	432
423.1875	432
424	432
424.75	432
425.5	432
426.1875	432
426.875	432
427.5	432
428.125	432
428.6875	432
429.1875	432
429.6875	432
430.125	432
430.5625	432
430.9375	432
431.25	432
431.5625	432
431.8125	432
432.0625	432
432.25	432
432.375	432
432.5	432
432.5625	432
432.625	432
432.625	432
432.625	432
432.5625	432
432.4375	432
432.3125	432
432.125	432
431.9375	432
431.6875	432
431.375	432
431.0625	432
430.6875	432
430.3125	432
429.875	432
429.375	432
428.875	432
428.3125	432
427.75	432
427.125	432
426.4375	432
425.75	432
425	432
424.25	432
423.5	432
422.8125	432
422.125	432
421.5	432
420.9375	432
420.375	432
419.875	432
419.375	432
418.9375	432
418.5625	432
418.1875	432
417.875	432
417.5625	432
417.3125	432
417.125	432
416.9375	432
416.8125	432
416.6875	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	432
416.625	428
416.6875	424.125
416.8125	420.375
417	416.75
417.25	413.25
417.5625	409.875
418	406.625
418.5	403.5
419.0625	400.5
419.6875	397.625
420.375	394.875
421.1875	392.25
422.0625	389.75
423	387.375
424	385.125
425.0625	383
426.25	381
427.5	379.125
428.8125	377.375
430.1875	375.75
431.625	374.25
433.125	372.875
434.625	371.625
436.125	370.5
437.625	369.5
439.125	368.625
440.625	368.1875
442.125	368.1875
443.625	368.625
445.125	369.5
446.625	370.8125
448.125	372.5625
449.625	374.75
451.125	377.375
452.625	380.4375
454.125	383.9375
455.625	387.875
457.125	392.25
458.625	396.25
460.125	400.6875
461.625	400.6875
463.125	400.6875
464.625	400.6875
466.125	400.6875
467.625	400.6875
469.125	400.6875
470.625	400.6875
472.125	400.6875
473.625	400.6875
475.125	400.6875
476.625	400.6875
478.125	400.6875
479.625	400.6875
481.125	401.125
482.625	402
484.125	403.3125
485.625	405.0625
487.125	407.25
488.625	409.875
490.125	412.9375
491.625	416.4375
